n13	n13	100.0	262	3.78e-154	534
n13	n80	99.6	261	4.18e-153	530
n13	n26	98.5	261	1.76e-151	525
n13	n30	97.7	262	5.11e-151	523
n13	n11	97.7	262	5.11e-151	523
n13	n46	97.7	261	1.94e-150	522
n13	n44	97.7	261	1.94e-150	522
n13	n15	97.7	261	1.94e-150	522
n13	n8	97.3	261	1.26e-149	519
n13	n29	96.6	261	6.24e-149	517
n13	n10	96.2	262	7.63e-147	510
n13	n12	94.7	262	9.97e-147	509
n13	n31	94.7	262	9.97e-147	509
n13	n14	94.6	261	3.79e-146	507
n13	n45	94.6	261	3.79e-146	507
n13	n25	94.6	261	4.95e-146	507
n13	n22	82.4	261	8.48e-130	453
n13	n27	82.4	261	8.48e-130	453
n13	n23	81.2	261	6.08e-128	447
n13	n74	78.9	261	2.92e-122	428
n13	n16	75.2	262	5.16e-119	417
n13	n52	68.2	264	1.04e-103	366
n13	n53	68.4	263	2.32e-103	365
n13	n24	64.9	262	4.85e-101	357
n13	n54	64.8	264	3.47e-99	351
n13	n2	64.8	264	7.74e-99	350
n13	n81	63.6	261	2.25e-98	349
n13	n64	64.7	258	1.91e-97	346
n13	n62	62.5	261	3.04e-95	338
n13	n6	61.1	262	1.16e-94	336
n13	n72	60.7	262	1.97e-94	335
n13	n5	61.6	263	4.39e-94	334
n13	n78	60.2	264	7.76e-91	324
n13	n69	61.2	255	2.76e-88	315
n13	n9	58.9	263	2.34e-87	312
n13	n87	59.1	257	2.19e-85	305
n13	n33	59.3	243	1.08e-84	303
n13	n34	59.3	243	5.38e-84	301
n13	n28	56.0	257	2.26e-82	295
n13	n57	54.9	264	2.59e-78	282
n13	n56	54.5	264	5.77e-78	281
n13	n73	52.7	262	7.53e-78	280
n13	n55	54.2	264	2.19e-77	279
n13	n58	53.6	261	2.42e-76	275
n13	n42	50.7	270	4.13e-76	275
n13	n18	50.9	271	1.57e-75	273
n13	n68	51.3	271	7.79e-75	270
n13	n32	50.2	261	7.79e-75	270
n13	n70	49.8	269	2.27e-74	269
n13	n88	51.3	265	1.47e-73	266
n13	n7	51.5	268	4.28e-73	265
n13	n66	49.8	265	8.07e-72	260
n13	n76	49.4	269	1.05e-71	260
n13	n77	49.6	268	1.05e-71	260
n13	n51	51.9	266	1.38e-71	260
n13	n4	49.8	271	1.99e-70	256
n13	n86	49.8	265	2.59e-70	255
n13	n1	50.4	266	1.29e-69	253
n13	n89	48.7	267	1.68e-69	253
n13	n59	48.7	265	1.86e-68	249
n13	n47	51.6	254	5.41e-68	248
n13	n21	51.6	254	5.41e-68	248
n13	n36	48.1	266	9.23e-68	247
n13	n19	46.5	269	2.06e-67	246
n13	n71	47.2	265	2.68e-67	245
n13	n60	47.0	270	3.88e-66	242
n13	n75	49.4	249	6.61e-66	241
n13	n41	47.6	271	3.28e-65	238
n13	n20	48.7	269	5.6e-65	238
n13	n61	45.9	266	3.63e-64	235
n13	n83	48.3	263	1.52e-62	230
n13	n43	44.5	256	6.86e-55	204
n13	n50	33.9	254	1.34e-34	137
n13	n79	34.7	236	1.64e-32	130
n13	n82	33.9	254	1.18e-30	124
n13	n67	34.8	244	2.62e-30	122
n13	n63	31.1	225	2.15e-24	103
n13	n40	30.5	213	1.82e-23	100
n13	n38	26.0	254	1.71e-13	67
n13	n90	27.0	237	6.49e-13	65
n13	n65	28.4	116	6.96e-07	45
n13	n134	26.8	112	3.45e-06	42
n13	n85	25.2	147	2.92e-05	39
n13	n37	28.0	125	2.92e-05	39
n13	n35	21.7	207	0.000247	36
n13	n49	28.2	131	0.000323	36
n13	n127	29.4	126	0.000422	35
n13	n3	22.9	166	0.000422	35
n13	n110	31.5	89	0.00094	34
n13	n85	27.1	70	0.00467	32
n13	n39	22.3	139	0.0177	30
n13	n97	24.9	181	0.0232	30
n13	n39	25.0	76	0.0232	30
n13	n182	21.4	196	0.115	27
n13	n133	26.5	83	0.115	27
n13	n132	22.8	149	0.196	27
n13	n105	23.6	106	0.256	26
n13	n100	30.8	78	0.334	26
n13	n159	22.8	136	0.745	25
n13	n162	25.5	51	0.973	24
n13	n167	26.4	106	0.973	24
n13	n166	26.4	106	0.973	24
n13	n3	27.5	80	1.27	24
