n35	n35	100.0	456	1.02e-263	899
n35	n3	95.1	371	2.23e-202	695
n35	n85	41.2	131	1.69e-16	77
n35	n39	28.7	143	4.91e-08	49
n35	n24	23.3	215	1.87e-07	47
n35	n72	24.5	294	7.1e-07	45
n35	n32	26.9	134	2.06e-06	44
n35	n23	21.0	262	2.7e-06	44
n35	n89	26.1	165	3.52e-06	43
n35	n28	26.3	243	6.01e-06	42
n35	n64	28.8	184	7.85e-06	42
n35	n25	22.9	210	1.02e-05	42
n35	n74	22.2	248	1.02e-05	42
n35	n22	21.4	262	1.02e-05	42
n35	n27	21.4	262	1.02e-05	42
n35	n57	27.5	153	1.75e-05	41
n35	n52	23.1	216	1.75e-05	41
n35	n9	25.3	170	1.75e-05	41
n35	n60	25.4	122	2.28e-05	40
n35	n56	24.5	188	2.98e-05	40
n35	n31	22.4	210	3.89e-05	40
n35	n12	22.4	210	3.89e-05	40
n35	n14	22.4	210	3.89e-05	40
n35	n45	22.4	210	3.89e-05	40
n35	n29	23.2	207	5.09e-05	39
n35	n62	23.1	182	5.09e-05	39
n35	n53	23.1	216	5.09e-05	39
n35	n55	27.5	153	5.09e-05	39
n35	n26	21.7	207	8.68e-05	39
n35	n8	21.7	207	0.000113	38
n35	n66	21.5	186	0.000113	38
n35	n43	30.4	115	0.000148	38
n35	n18	24.7	194	0.000148	38
n35	n80	22.2	207	0.000148	38
n35	n37	37.9	58	0.000193	37
n35	n7	26.2	122	0.000193	37
n35	n77	24.0	129	0.000252	37
n35	n105	26.5	257	0.00033	37
n35	n83	27.0	137	0.000431	36
n35	n82	21.6	245	0.000431	36
n35	n13	21.7	207	0.000431	36
n35	n46	21.3	207	0.000562	36
n35	n130	51.3	39	0.000562	36
n35	n15	21.3	207	0.000562	36
n35	n44	21.3	207	0.000562	36
n35	n41	22.4	201	0.000562	36
n35	n11	21.3	207	0.000562	36
n35	n30	21.3	207	0.000562	36
n35	n36	25.4	122	0.000734	35
n35	n33	25.9	135	0.000734	35
n35	n49	30.1	83	0.00125	35
n35	n42	25.0	136	0.00164	34
n35	n20	20.5	210	0.00214	34
n35	n5	21.4	201	0.00214	34
n35	n107	21.8	339	0.00214	34
n35	n128	26.5	132	0.00279	33
n35	n51	25.2	119	0.00279	33
n35	n169	23.7	253	0.00476	33
n35	n16	22.1	199	0.00476	33
n35	n126	25.1	167	0.00622	32
n35	n67	25.4	177	0.0106	32
n35	n6	26.6	94	0.0106	32
n35	n70	25.4	130	0.0139	31
n35	n128	32.4	71	0.0181	31
n35	n34	24.6	130	0.0236	30
n35	n128	27.2	125	0.0236	30
n35	n123	33.9	62	0.0403	30
n35	n58	25.2	115	0.0526	29
n35	n98	28.7	143	0.0526	29
n35	n96	27.7	119	0.0526	29
n35	n129	26.2	202	0.0687	29
n35	n10	20.8	207	0.0687	29
n35	n40	24.2	207	0.0687	29
n35	n138	26.4	110	0.117	28
n35	n69	20.8	149	0.2	27
n35	n51	33.8	80	0.2	27
n35	n111	22.2	230	0.341	27
n35	n136	26.4	72	0.446	26
n35	n100	29.7	91	0.446	26
n35	n108	24.2	252	0.582	26
n35	n134	31.4	35	0.582	26
n35	n196	39.6	48	0.582	26
n35	n106	26.4	72	0.76	25
n35	n85	41.7	24	0.76	25
n35	n186	24.5	241	0.76	25
n35	n125	28.0	50	1.69	24
n35	n129	32.1	53	2.21	24
n35	n40	28.6	42	2.21	24
n35	n193	23.7	316	2.21	24
n35	n6	30.7	88	2.21	24
n35	n157	24.3	218	2.21	24
n35	n57	24.4	86	2.89	23
n35	n73	26.5	102	2.89	23
n35	n178	25.8	194	2.89	23
n35	n55	24.4	86	2.89	23
n35	n200	27.3	121	3.77	23
n35	n186	23.1	121	3.77	23
n35	n91	27.2	81	3.77	23
n35	n5	32.8	67	3.77	23
n35	n179	25.7	179	3.77	23
n35	n112	26.2	149	4.93	23
n35	n117	22.0	91	4.93	23
n35	n90	22.9	179	4.93	23
n35	n59	36.2	69	4.93	23
n35	n202	24.2	128	6.43	22
n35	n101	25.0	180	6.43	22
n35	n193	23.0	122	6.43	22
n35	n77	40.5	37	6.43	22
n35	n99	34.9	43	6.43	22
n35	n201	24.8	133	6.43	22
n35	n131	23.0	100	8.4	22
n35	n81	32.4	68	8.4	22
n35	n113	25.0	88	11	22
n35	n194	27.9	68	11	22
n35	n183	27.5	80	11	22
n35	n86	40.9	44	14.3	21
n35	n123	35.4	65	14.3	21
n35	n168	30.4	56	14.3	21
n35	n207	20.0	125	14.3	21
n35	n112	27.1	48	18.7	21
n35	n108	23.6	161	18.7	21
n35	n116	31.5	54	18.7	21
n35	n204	27.5	120	18.7	21
n35	n202	28.8	66	18.7	21
n35	n163	30.4	56	18.7	21
n35	n162	24.3	107	18.7	21
n35	n101	27.0	74	18.7	21
n35	n157	25.4	67	18.7	21
n35	n78	22.6	106	18.7	21
n35	n115	45.5	22	18.7	21
n35	n130	28.8	59	24.4	20
n35	n134	27.5	51	24.4	20
n35	n7	33.3	36	24.4	20
n35	n77	34.3	35	24.4	20
n35	n68	33.3	36	24.4	20
n35	n208	22.9	96	24.4	20
n35	n126	38.9	36	31.9	20
n35	n205	58.3	12	31.9	20
n35	n66	33.3	36	31.9	20
n35	n175	24.5	184	31.9	20
n35	n38	39.1	46	31.9	20
n35	n180	25.1	179	31.9	20
n35	n196	33.3	63	31.9	20
n35	n19	32.6	43	41.7	20
n35	n133	34.6	26	41.7	20
n35	n71	38.6	44	41.7	20
n35	n40	37.9	29	41.7	20
n35	n64	36.4	33	54.5	19
n35	n60	33.3	36	54.5	19
n35	n101	27.5	69	54.5	19
n35	n184	23.8	101	54.5	19
n35	n169	37.0	46	54.5	19
n35	n61	33.3	36	54.5	19
n35	n110	30.8	26	54.5	19
n35	n67	21.7	69	71.1	19
n35	n167	38.5	39	71.1	19
n35	n181	29.5	132	71.1	19
n35	n166	38.5	39	71.1	19
n35	n183	29.4	34	71.1	19
n35	n132	38.5	13	71.1	19
n35	n5	35.1	37	71.1	19
n35	n183	22.1	154	71.1	19
n35	n187	23.5	149	71.1	19
n35	n92	30.8	39	71.1	19
n35	n81	33.3	33	71.1	19
n35	n51	38.6	44	71.1	19
n35	n210	22.7	75	71.1	19
n35	n209	36.8	38	71.1	19
n35	n209	29.1	55	71.1	19
n35	n173	25.0	56	71.1	19
n35	n87	27.7	65	71.1	19
n35	n89	33.3	36	71.1	19
n35	n156	34.1	41	71.1	19
n35	n104	27.7	47	71.1	19
n35	n208	25.8	66	71.1	19
n35	n165	26.3	95	71.1	19
n35	n81	28.9	76	92.9	18
n35	n99	34.1	41	92.9	18
n35	n32	41.2	17	92.9	18
n35	n170	21.6	116	92.9	18
n35	n168	60.0	10	92.9	18
