v001	v047	78.6	3.23e-130	455
v001	v021	78.6	3.23e-130	455
v001	v004	74.9	3.03e-120	421
v001	v018	64.6	4.53e-108	381
v001	v075	61.5	2.66e-100	355
v001	v042	62.1	2.49e-98	349
v001	v068	50.0	6.17e-81	291
v001	v071	51.4	1.05e-80	290
v001	v007	51.2	1.98e-79	286
v001	v070	51.0	2.87e-78	282
v001	v066	49.5	3.74e-78	282
v001	v036	54.8	8.34e-78	280
v001	v077	49.7	1.09e-77	280
v001	v086	50.7	1.57e-76	276
v001	v060	53.2	2.68e-76	275
v001	v059	49.7	7.8e-76	274
v001	v089	53.2	1.02e-75	273
v001	v051	53.0	2.27e-75	272
v001	v076	48.2	3.87e-75	272
v001	v046	50.3	2.78e-73	265
v001	v015	50.3	2.78e-73	265
v001	v044	50.3	2.78e-73	265
v001	v061	50.6	3.62e-73	265
v001	v041	49.6	2.35e-72	262
v001	v025	49.7	3.07e-72	262
v001	v074	52.0	3.07e-72	262
v001	v080	49.7	4.01e-72	262
v001	v081	50.5	5.23e-72	261
v001	v045	49.3	6.84e-72	261
v001	v029	49.7	6.84e-72	261
v001	v014	49.3	6.84e-72	261
v001	v020	48.4	1.17e-71	260
v001	v019	46.4	1.52e-71	260
v001	v011	51.1	9.87e-71	257
v001	v030	51.1	9.87e-71	257
v001	v009	51.9	1.68e-70	256
v001	v026	51.3	1.68e-70	256
v001	v013	50.4	1.43e-69	253
v001	v008	50.6	2.43e-69	252
v001	v010	52.4	3.18e-69	252
v001	v027	49.0	4.15e-69	252
v001	v022	49.0	4.15e-69	252
v001	v053	48.7	5.42e-69	251
v001	v062	50.2	5.42e-69	251
v001	v031	49.6	5.42e-69	251
v001	v012	49.6	5.42e-69	251
v001	v023	49.1	5.42e-69	251
v001	v005	49.0	2.06e-68	249
v001	v069	48.4	2.06e-68	249
v001	v033	47.3	7.82e-68	247
v001	v056	49.0	1.33e-67	247
v001	v016	48.9	1.74e-67	246
v001	v054	48.9	6.62e-67	244
v001	v052	47.5	1.93e-66	243
v001	v006	48.4	2.52e-66	242
v001	v057	47.9	4.29e-66	242
v001	v002	47.7	4.29e-66	242
v001	v055	47.9	7.32e-66	241
v001	v078	44.9	9.56e-66	240
v001	v024	44.5	2.78e-65	239
v001	v064	48.5	4.74e-65	238
v001	v087	42.8	4.02e-64	235
v001	v058	42.9	5.25e-64	235
v001	v073	42.4	1.17e-63	233
v001	v072	44.5	1.17e-63	233
v001	v034	44.7	3.4e-63	232
v001	v032	44.5	4.16e-61	225
v001	v088	45.3	1.58e-60	223
v001	v028	41.9	8.67e-59	217
v001	v043	44.2	7.34e-58	214
v001	v083	40.6	3.19e-53	199
v001	v067	38.8	3.2e-45	172
v001	v082	36.9	1.39e-40	157
v001	v050	35.6	2.9e-38	149
v001	v079	34.5	3.2e-37	146
v001	v063	29.1	1.76e-27	113
v001	v040	30.1	6.27e-25	105
v001	v038	28.5	2.55e-18	83
v001	v090	26.8	1.11e-13	67
v001	v037	29.3	0.000467	35
v001	v049	27.3	0.000797	35
v001	v127	19.9	0.00232	33
v001	v123	34.9	0.00395	32
v001	v135	38.3	0.00516	32
v001	v125	24.1	0.015	30
v001	v085	26.6	0.0196	30
v001	v095	25.4	0.0437	29
v001	v123	29.8	1.08	24
v001	v096	25.5	1.08	24
v001	v109	33.3	1.84	23
v001	v133	30.0	1.84	23
v001	v092	24.2	2.4	23
v001	v111	27.7	5.34	22
v001	v168	28.6	6.98	22
v001	v085	31.6	9.12	21
v001	v098	26.9	9.12	21
v002	v054	98.5	1.62e-149	518
v002	v062	69.3	2.08e-104	369
v002	v053	69.5	3.55e-104	368
v002	v052	68.5	6.05e-104	367
v002	v081	67.7	4.33e-102	361
v002	v016	67.8	3.11e-100	355
v002	v078	66.2	4.06e-100	354
v002	v024	65.6	6.92e-100	354
v002	v030	64.8	5.86e-99	351
v002	v011	64.8	5.86e-99	351
v002	v013	64.8	7.65e-99	350
v002	v046	64.6	2.23e-98	349
v002	v044	64.6	2.23e-98	349
v002	v026	64.6	2.23e-98	349
v002	v006	64.7	2.23e-98	349
v002	v015	64.6	2.23e-98	349
v002	v080	64.6	2.91e-98	348
v002	v029	64.6	6.48e-98	347
v002	v008	64.3	1.88e-97	346
v002	v072	64.9	1.88e-97	346
v002	v031	64.0	3.21e-97	345
v002	v012	64.0	3.21e-97	345
v002	v025	63.9	9.35e-97	343
v002	v014	63.9	1.22e-96	343
v002	v045	63.9	1.22e-96	343
v002	v022	64.3	1.6e-96	342
v002	v027	64.3	1.6e-96	342
v002	v010	63.6	1.76e-95	339
v002	v064	62.2	8.75e-95	337
v002	v023	62.7	3.33e-94	335
v002	v005	62.1	1.26e-93	333
v002	v009	62.2	6.27e-93	330
v002	v056	63.1	4.07e-92	328
v002	v057	63.1	6.94e-92	327
v002	v074	60.8	4.5e-91	324
v002	v055	62.3	5.87e-91	324
v002	v087	63.1	1e-90	323
v002	v073	60.1	3.22e-89	318
v002	v028	56.5	1.11e-81	293
v002	v032	51.9	7.95e-80	287
v002	v033	54.7	1.66e-77	279
v002	v018	50.7	9.1e-76	273
v002	v034	52.7	1.01e-74	270
v002	v042	49.1	3.82e-74	268
v002	v058	52.7	6.1e-72	261
v002	v083	52.5	1.15e-70	257
v002	v069	50.8	1.5e-70	256
v002	v021	48.9	5.71e-70	254
v002	v047	48.9	5.71e-70	254
v002	v070	48.3	1.66e-69	253
v002	v004	48.5	8.25e-69	250
v002	v051	47.6	1.84e-68	249
v002	v068	48.9	3.14e-68	248
v002	v076	48.1	5.35e-68	248
v002	v007	47.6	5.91e-67	244
v002	v066	48.3	1.72e-66	243
v002	v019	46.7	1.46e-65	240
v002	v077	46.3	2.48e-65	239
v002	v036	46.4	4.24e-65	238
v002	v061	45.9	9.44e-65	237
v002	v059	44.5	6.76e-63	231
v002	v041	46.9	6.76e-63	231
