node_id	sequence_md5	identifier	identifier_all	accession	accession_all	enzyme_name	enzyme_name_all	organism	pazy_id	pazy_id_all	sequence_length	n_source_rows	v1_component	cath
v027	2b9fd2b29499ad2d285db6505328e11d			D4Q9N1	D4Q9N1	Est1	Est1	Thermobifida alba AHK119			296	1	1	3.40.50.1820
v028	e5571e8fd143e90bd5db0ca52ce67226			DAC80635	DAC80635	SM14; SM14est	SM14; SM14est	Streptomyces sp.			284	1	1	3.40.50.1820
v029	4d6c690dd47d3941954de2c9d2abaf2f			E5BBQ2	E5BBQ2	TfCut_1; Cut-1.kw3	TfCut_1; Cut-1.kw3	Thermobifida fusca			319	1	1	3.40.50.1820
v030	e65e54bed8b506d0ddf1f5164bf29425			E9LVH8	E9LVH8	Thc_cut1	Thc_cut1	Thermobifida cellulosilytica			262	1	1	3.40.50.1820
v031	46578a460f23e13d1ebe0b0ebf887282			E9LVH9	E9LVH9	Thc_cut2	Thc_cut2	Thermobifida cellulosilytica			262	1	1	3.40.50.1820
v032	6435b353e1e02d2f720bc95ef5cb13af			EGD44994.1	EGD44994.1	Enzyme 503 like	Enzyme 503 like	Nocardioidaceae bacterium			294	1	1	3.40.50.1820
v033	1b0d2c147b96bad033703fb124a50764			G9BY57	G9BY57	HRB29-GBD22443 like	HRB29-GBD22443 like	LCC leaf compost metagenome			293	1	1	3.40.50.1820
v034	4dfca93c424da8986ee3fb484d868de2			GBD22443	GBD22443	LCC-like	LCC-like	HR29			293	1	1	3.40.50.1820
v035	fe31253f406d9725da382e4a9e67d782			YNPsite06_CeleraDRAFT_160970	YNPsite06_CeleraDRAFT_160970	Enzyme 214 like	Enzyme 214 like	Metagenome			456	1	1	3.40.50.1820
v036	e0db2a4f62c16fd0850cb05f28dbe103			R4YKL9_OLEAN	R4YKL9_OLEAN	PETase	PETase	Oleispira antarctica			310	1	1	3.40.50.1820
v037	c48ea13e3b7c4343a47482e71c9b2abe			JzSedJan11_10004914	JzSedJan11_10004914	Enzyme 211 like	Enzyme 211 like	Metagenome			263	1	1	3.40.50.1820
v038	6f5b887d3833e9449f06aac8cfc2e5d6			YNPsite06_CeleraDRAFT_367810	YNPsite06_CeleraDRAFT_367810	Enzyme 301 like	Enzyme 301 like	Metagenome			495	1	1	3.40.50.1820
v039	37caf8c38d262f6d271a5e7c422d4423			JGI20132J14458_10325381	JGI20132J14458_10325381	Enzyme 307 like	Enzyme 307 like	Metagenome			257	1	1	3.40.50.1820
v040	bc7a038f9383a1c9351ad53e8f89a243			MEC8523093.1	MEC8523093.1	dsPETase05	dsPETase05	Pseudomonadota bacterium			292	1	1	3.40.50.1820
v041	174ba911d73b1edc801c52651ec17efd			ODU60407.1	ODU60407.1	Enzyme 412	Enzyme 412	Ketobacter alkanivorans			305	1	1	3.40.50.1820
v042	604018ae8af9058028c669f8ed8de020			A0A1F4JXW8	A0A1F4JXW8	ApLip-Ec	ApLip-Ec	Aquabacterium parvum			426	1	1	3.40.50.1820
v043	6c92a78329d5a05cad38caf62075d747			P19833	P19833	PaCut	PaCut	Pseudomonas alcaligenes			319	1	1	3.40.50.1820
v044	a0445e5a5b156ccfedc088c49acfd84a			Q47RJ6_THEFY	Q47RJ6_THEFY	WSH03-11; Tfu_0883	WSH03-11; Tfu_0883	Thermobifida fusca YX			301	1	1	3.40.50.1820
