n6	n6	100.0	1.8e-164	582
n6	n5	79.2	4.18e-129	465
n6	n64	68.4	3.69e-101	372
n4	n4	100.0	1.14e-166	589
n4	n1	74.9	4.1e-116	421
n4	n47	73.8	7.74e-115	417
n4	n21	73.8	7.74e-115	417
n3	n3	100.0	7.25e-214	747
n3	n35	95.1	2.5e-198	695
n3	n37	32.9	1.65e-16	91
n17	n17	100.0	7.39e-180	633
n11	n30	100.0	6.65e-150	533
n11	n11	100.0	6.65e-150	533
n11	n46	100.0	2.53e-149	532
n11	n44	100.0	2.53e-149	532
n11	n15	100.0	2.53e-149	532
n11	n26	99.2	2.79e-148	528
n11	n8	98.9	3.09e-147	525
n11	n13	97.7	6.88e-147	523
n11	n80	97.3	7.61e-146	520
n11	n10	98.5	9.93e-146	520
n11	n29	94.3	1.14e-141	506
n11	n31	93.1	2.8e-140	502
n11	n12	93.1	2.8e-140	502
n11	n45	93.1	1.06e-139	500
n11	n14	93.1	1.06e-139	500
n11	n25	92.3	9e-139	497
n10	n10	100.0	3.9e-150	534
n10	n30	98.5	9.93e-146	520
n10	n11	98.5	9.93e-146	520
n10	n46	98.5	3.77e-145	518
n10	n44	98.5	3.77e-145	518
n10	n15	98.5	3.77e-145	518
n10	n26	97.7	4.17e-144	514
n10	n8	97.3	4.61e-143	511
n10	n13	96.2	1.03e-142	510
n10	n80	96.2	3.91e-142	508
n10	n29	93.1	5.84e-138	494
n10	n31	91.6	4.18e-136	488
n10	n12	91.6	4.18e-136	488
n10	n45	91.6	1.59e-135	486
n10	n14	91.6	1.59e-135	486
n10	n25	91.2	4.62e-135	484
n13	n13	100.0	5.09e-150	534
n13	n80	99.6	5.63e-149	530
n13	n26	98.5	2.36e-147	525
n13	n30	97.7	6.88e-147	523
n13	n11	97.7	6.88e-147	523
n13	n46	97.7	2.61e-146	522
n13	n44	97.7	2.61e-146	522
n13	n15	97.7	2.61e-146	522
n13	n8	97.3	1.69e-145	519
n13	n29	96.6	8.41e-145	517
n13	n10	96.2	1.03e-142	510
n13	n31	94.7	1.34e-142	509
n13	n12	94.7	1.34e-142	509
n13	n45	94.6	5.1e-142	507
n13	n14	94.6	5.1e-142	507
n13	n25	94.6	6.66e-142	507
n18	n18	100.0	2.04e-171	605
n18	n42	69.1	3.11e-111	405
n18	n4	66.1	4.2e-108	395
n18	n47	66.1	3.68e-104	382
n18	n21	66.1	3.68e-104	382
n18	n1	64.6	6.27e-104	381
n18	n41	52.6	7.46e-81	304
